Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
449,4,4,20,292,1,1,3,0,0,4,0,9,2,2,0,0,5,5,69,57,1,1,7,7,3,0,3,4,0,4,4,4,6,0,6,0,429,114,1,4,1,4,72,88,0,280,0,0,2,0,3,1,3,5,6,1,2,5,68,3,1,7,5,5,0,0,0,0,0,0,0,3,2,1,0,5,0,8,4,11.691071650353702
833,5,3,14,411,1,1,0,3,0,1,0,5,2,2,0,5,6,5,7,8,1,1,11,12,1,133,2,4,2,2,4,4,2,185,6,0,261,204,1,0,1,4,169,217,0,516,1,0,2,1,3,1,2,5,6,1,5,1,7,2,2,241,5,5,2,106,27,0,0,0,0,3,2,1,0,0,4,8,4,12.375815420117268
277,0,3,92,366,1,1,0,3,0,4,0,11,2,2,0,2,6,4,7,8,1,1,11,12,3,0,2,4,2,0,4,4,6,0,6,0,643,519,1,0,1,4,525,0,0,378,0,0,2,0,3,1,2,5,6,0,3,1,7,0,2,216,5,5,2,40,115,0,0,0,0,3,2,1,0,3,4,8,4,12.211060187041213
84,0,3,50,326,1,1,0,3,0,4,0,12,2,2,0,2,4,4,47,48,1,1,7,7,0,30,3,4,1,4,4,4,6,0,6,0,533,279,1,2,1,4,252,0,0,111,0,0,1,1,3,1,3,4,6,0,3,5,33,3,2,134,5,5,2,26,0,0,0,0,0,3,2,1,0,6,1,0,4,11.747997587149712
888,4,3,29,818,1,1,0,3,0,4,0,7,2,2,0,0,4,6,53,54,1,1,7,7,3,0,3,2,2,4,4,4,6,0,6,0,448,136,1,4,1,4,125,53,0,290,0,0,1,1,3,1,3,6,6,0,3,1,53,3,1,46,5,5,2,53,0,0,0,53,0,3,2,1,0,3,2,8,4,11.816726919301892
1013,6,3,25,521,1,1,3,3,0,4,0,6,2,2,0,5,5,6,84,12,3,1,12,13,3,0,3,2,2,4,0,4,6,0,6,0,340,39,1,4,1,4,142,91,0,342,0,0,1,1,3,1,2,5,6,2,5,5,82,3,1,3,5,5,2,38,0,31,0,2,0,3,2,1,0,7,1,8,4,12.013700752882718
1154,1,4,40,108,1,1,3,3,0,0,0,9,2,2,0,2,5,7,78,2,1,1,12,13,3,0,2,2,0,4,4,0,0,216,6,0,144,136,1,0,1,4,94,0,0,25,0,0,1,0,2,1,3,3,6,0,3,5,6,3,1,111,5,5,2,0,0,24,0,0,0,3,2,1,0,5,2,8,4,11.699405031912846
728,0,3,34,176,1,1,3,3,0,4,0,5,2,2,0,2,6,4,2,3,1,1,11,12,4,40,2,4,2,2,4,0,2,320,6,0,292,373,1,0,1,4,364,0,0,203,1,0,2,0,2,1,2,4,6,0,3,1,2,2,2,256,5,5,2,60,0,0,0,0,0,3,2,1,0,1,3,8,4,12.178187442040638
270,0,3,40,225,1,1,0,3,0,0,0,7,2,2,0,2,5,6,31,32,3,1,5,5,1,109,3,2,1,4,1,4,1,335,6,0,216,327,1,4,1,4,284,0,0,138,1,0,1,1,3,1,3,4,6,1,1,1,20,2,1,168,5,2,2,205,20,0,0,0,0,3,0,1,0,4,1,8,4,11.904967552746252
1105,12,4,1,11,1,1,3,3,0,4,0,2,2,2,4,5,4,4,37,38,1,1,5,5,1,182,3,4,1,4,4,4,6,0,6,0,353,49,1,4,1,4,22,116,0,241,0,0,2,1,3,1,3,4,6,0,3,5,37,3,2,118,5,5,2,0,0,0,0,0,0,3,2,1,0,3,1,8,4,11.571194373094205
259,5,3,50,688,1,1,3,3,0,4,0,5,2,2,0,5,6,4,7,8,1,1,11,12,1,108,2,4,2,2,4,4,2,119,6,0,340,216,1,0,1,4,183,182,0,501,0,0,2,1,3,1,2,5,6,1,5,1,7,2,2,210,5,5,2,0,77,0,14,0,0,3,2,1,0,4,2,8,4,12.352335152508426
1407,9,3,40,271,1,1,3,3,0,0,0,5,2,2,0,6,4,6,37,3,1,1,5,14,3,0,3,4,1,2,4,0,2,285,6,0,42,106,1,4,1,4,65,0,0,15,1,0,1,0,2,1,3,3,6,0,3,5,21,3,2,85,5,5,2,19,0,0,0,0,0,3,3,1,0,2,3,8,4,11.79810440720389
1459,0,3,38,426,1,1,3,3,0,4,0,12,2,2,0,2,4,5,60,15,3,1,7,7,3,0,3,4,1,4,4,3,2,12,5,113,0,286,1,2,1,0,261,0,0,118,1,0,1,0,2,1,2,3,6,0,3,1,60,3,1,19,5,5,2,203,0,31,0,0,0,3,2,1,0,3,4,8,4,11.864462231052837
997,0,3,40,534,1,1,0,3,0,4,0,12,2,2,0,2,4,5,45,46,3,1,12,13,3,0,3,4,1,4,4,4,5,399,6,0,59,267,1,4,1,4,239,0,0,104,1,0,1,0,3,1,3,4,6,0,3,1,45,3,1,73,5,5,2,0,169,0,0,0,0,3,2,1,0,0,0,0,4,11.824079893607152
1094,0,3,41,370,1,1,3,3,0,0,0,12,1,2,0,2,4,7,41,9,3,1,7,7,1,102,3,4,1,4,4,3,2,288,6,0,106,164,1,2,1,4,345,0,0,186,1,0,1,1,1,1,2,4,6,0,3,5,29,3,2,363,5,5,2,0,51,0,0,0,0,3,3,1,0,9,0,8,4,11.891361900690473
114,0,3,40,852,1,1,3,0,0,0,0,6,2,2,0,2,5,4,54,55,3,1,12,13,1,115,3,2,1,2,4,3,0,8,5,109,481,586,1,4,1,4,657,0,0,655,1,0,2,0,3,1,2,5,6,2,2,2,54,3,2,124,5,5,2,84,93,67,0,0,0,3,3,1,0,9,1,0,0,12.287652632522597
1384,1,3,40,870,1,1,3,3,0,4,0,19,2,2,0,2,4,6,89,1,1,1,12,13,3,0,3,2,0,4,4,4,6,0,6,0,448,136,1,0,1,4,455,0,0,298,0,0,2,0,3,1,2,5,6,0,3,1,0,3,2,219,5,5,0,0,0,31,0,0,0,3,2,1,0,7,1,8,4,11.626254150277232
379,0,3,58,605,1,1,3,3,0,0,0,22,2,2,0,2,8,1,0,1,3,1,11,12,4,199,2,4,2,0,4,0,2,527,6,0,229,593,1,0,1,4,619,0,0,526,1,0,1,1,1,1,0,6,6,1,0,1,0,0,3,343,5,5,2,47,0,0,0,0,0,3,2,1,0,5,4,6,5,12.885202034321916
556,3,4,28,125,1,1,3,3,0,4,0,3,2,2,0,1,4,5,84,57,1,1,7,7,3,0,3,4,0,4,0,4,6,0,6,0,514,238,1,4,1,0,238,0,0,103,0,0,1,0,2,1,3,3,6,1,2,5,82,3,1,33,5,5,2,0,0,34,0,0,0,3,2,1,0,7,0,8,4,11.635143097694478
464,6,3,44,650,1,1,0,1,0,4,1,6,2,2,0,5,5,6,74,14,3,1,10,11,3,0,3,4,1,4,4,4,3,101,6,0,214,83,1,1,1,0,112,178,0,430,0,0,1,1,3,1,3,4,6,1,2,5,68,3,1,19,5,5,2,0,0,0,0,0,0,3,2,1,0,7,2,8,4,12.147913731356642
46,11,3,31,200,1,1,3,3,0,4,0,16,2,2,4,2,8,4,5,6,3,1,7,7,1,214,0,4,2,0,4,4,2,173,6,0,594,580,1,0,1,4,600,0,0,486,1,0,2,0,2,1,0,4,6,1,2,1,5,2,2,219,5,5,2,108,67,0,0,0,0,3,2,1,0,1,4,8,4,12.675763725937609
426,5,4,30,39,1,0,3,1,0,4,0,17,2,2,0,5,6,7,63,18,1,1,5,5,3,0,3,2,1,4,4,4,6,0,6,0,363,56,1,2,1,4,44,121,0,287,0,0,1,1,3,1,3,4,6,2,2,5,62,3,1,19,5,5,1,0,0,37,0,0,0,3,2,1,0,8,3,8,4,11.813030057420567
1231,10,3,40,842,1,1,0,3,0,4,0,19,1,5,2,0,4,4,30,31,5,1,8,9,3,1,3,4,1,2,4,4,2,194,5,40,364,438,1,0,1,4,433,320,0,709,0,0,2,2,4,2,3,10,6,1,5,3,30,2,2,230,5,5,0,76,14,46,0,0,0,3,2,0,18,7,1,8,4,12.154779351142624
171,4,4,40,681,1,1,0,3,0,4,0,17,1,2,0,0,4,5,66,58,1,1,7,7,3,0,3,4,1,4,4,4,5,118,6,0,195,85,1,4,1,4,114,0,19,283,0,0,1,1,2,1,3,5,6,0,3,5,16,3,2,265,5,5,2,137,0,0,0,0,0,3,2,1,0,4,1,8,4,11.763684183317412
869,5,3,40,786,1,1,1,3,0,0,0,8,1,2,0,5,4,5,58,57,1,1,8,9,3,0,3,4,3,3,2,2,4,0,4,0,0,0,1,2,1,4,516,139,1,666,0,0,2,0,2,1,3,5,6,1,5,1,27,3,2,273,5,5,1,52,112,0,0,0,0,3,2,1,0,4,0,8,4,12.037653993905211
151,0,3,87,493,1,1,3,3,0,0,0,5,2,2,0,2,4,5,32,33,1,1,5,5,3,0,3,4,1,4,4,0,1,318,6,0,133,221,1,4,1,4,188,0,0,75,0,0,1,1,3,1,3,3,6,0,3,1,32,3,2,118,5,5,2,0,0,0,0,0,0,3,3,1,0,0,1,8,4,11.711776323715394
859,0,3,50,500,1,1,3,3,0,4,0,14,2,2,0,2,6,4,33,34,1,1,5,5,1,117,3,4,1,2,4,4,6,0,6,0,541,294,1,4,1,4,437,0,0,277,0,0,2,0,3,1,3,4,6,1,5,1,33,2,2,149,5,5,2,0,0,0,0,0,0,3,3,1,0,5,3,8,3,11.931635799828413
176,0,3,54,700,1,1,3,3,0,0,0,7,2,2,0,2,5,6,57,7,1,1,13,14,3,0,3,4,1,4,1,0,0,182,6,0,398,358,1,4,1,4,651,0,0,633,1,0,2,0,4,1,2,5,6,1,2,1,57,3,2,219,5,5,2,0,19,5,0,0,0,3,3,1,0,5,1,8,4,12.400816722322686
361,9,3,40,190,1,1,0,3,0,1,0,11,2,2,0,6,5,5,29,30,1,1,11,12,3,0,3,4,1,2,4,0,2,344,6,0,45,176,1,0,1,4,151,0,0,56,1,0,1,0,2,1,3,3,6,1,5,1,29,2,2,140,5,5,2,0,0,0,0,41,0,3,3,1,0,5,1,8,4,11.957611286231675
590,2,4,20,352,1,1,3,3,0,4,0,3,6,1,0,2,4,5,78,49,1,1,11,12,3,0,3,4,0,4,4,4,6,0,6,0,410,96,1,4,1,0,71,0,5,62,0,0,1,0,2,1,3,2,6,0,3,5,20,3,1,51,5,5,1,0,0,0,0,0,0,3,2,3,8,7,2,8,4,11.283512300642423
172,0,3,96,875,1,1,0,3,0,0,0,12,2,2,0,2,5,4,50,51,3,1,3,9,4,62,3,4,1,4,1,1,1,273,6,0,251,288,1,1,1,4,562,0,0,427,1,0,1,0,3,1,3,5,6,2,2,1,50,0,2,187,5,5,1,119,49,0,0,0,0,3,2,1,0,4,4,8,4,12.2783933071098
527,0,3,40,729,1,1,3,3,0,4,0,12,2,2,0,2,4,6,51,8,3,1,12,13,3,0,3,4,1,2,4,4,5,127,6,0,315,196,1,4,1,4,161,0,0,60,0,0,1,0,2,1,3,2,6,0,3,1,51,3,1,22,5,5,2,153,0,50,0,0,0,3,2,1,0,5,1,8,4,11.790557201568507
1365,12,1,2,33,1,2,3,3,0,4,0,21,2,2,4,5,6,4,1,2,1,1,7,7,3,0,2,4,2,2,4,4,6,0,6,0,339,38,1,0,1,4,5,89,2,186,0,0,2,1,2,1,2,2,6,0,3,5,1,2,2,150,5,5,2,0,125,0,0,0,0,3,2,1,0,3,0,8,0,11.87862357740665
146,12,4,1,20,1,1,3,3,0,4,0,7,2,2,3,5,5,4,2,1,1,1,11,12,4,20,2,4,2,2,4,4,6,0,6,0,507,222,1,0,1,4,189,145,0,461,0,0,2,0,3,1,2,5,0,0,3,5,2,3,2,78,5,5,2,0,28,0,0,0,0,3,2,1,0,3,0,8,4,11.77528972943772
1006,8,3,35,264,1,1,3,3,0,4,0,5,2,2,0,7,4,7,31,32,1,1,5,5,1,132,2,4,1,2,1,0,2,249,6,0,215,233,1,4,1,4,199,0,0,81,0,0,2,0,3,1,3,4,6,0,3,1,31,3,1,59,5,5,2,119,0,0,0,0,0,3,2,1,0,10,2,8,4,11.917723684090689
275,0,3,46,259,1,1,3,3,0,0,0,11,2,2,0,2,4,6,25,26,1,1,5,6,3,0,3,4,1,4,4,1,0,220,6,0,140,136,1,4,1,4,94,0,0,25,0,0,1,0,2,1,3,3,6,0,3,1,25,3,1,28,5,5,2,85,0,0,0,0,0,3,2,1,0,5,1,8,4,11.732060994886899
380,5,3,30,243,1,1,0,3,0,4,0,8,6,2,0,5,5,4,9,10,1,1,11,12,1,4,3,4,2,2,4,4,6,0,6,0,512,231,1,0,1,4,215,167,0,505,0,0,2,1,3,1,3,5,6,1,5,1,9,0,2,136,5,5,2,40,50,0,0,0,0,3,2,1,0,5,3,8,4,12.095141084822892
1309,0,4,70,652,1,1,3,3,0,4,0,17,2,2,0,2,4,6,60,4,1,1,7,7,3,0,3,4,1,4,4,4,2,30,0,90,84,192,1,0,1,4,291,0,0,145,1,0,1,0,2,1,2,4,6,0,3,1,60,3,2,187,5,5,2,0,25,0,0,0,0,3,1,1,0,4,2,8,4,11.898187865760873
534,0,3,20,81,1,1,3,2,0,4,1,3,2,2,0,2,0,2,61,58,1,1,11,12,3,0,1,1,3,3,2,2,4,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,6,0,3,6,27,1,0,0,3,3,0,0,0,0,0,0,0,3,2,1,0,0,1,8,4,10.578979797857352
494,0,3,40,228,1,1,3,3,0,4,0,12,2,2,0,2,4,5,48,49,1,1,3,13,3,0,3,4,1,4,4,4,1,125,3,82,197,397,1,4,1,0,388,0,0,225,0,0,1,1,3,1,3,4,6,1,1,5,44,3,1,51,5,5,2,0,0,0,0,0,0,3,2,1,0,5,2,8,4,11.951180395901384
701,0,3,55,777,1,1,3,3,0,4,0,23,2,2,0,2,7,4,4,5,3,1,11,12,1,254,2,4,2,0,4,1,2,494,6,0,301,585,1,0,1,4,607,0,0,505,1,0,2,0,3,1,2,5,6,1,2,1,4,0,3,312,5,5,2,160,64,0,0,0,0,3,2,1,0,4,0,8,4,12.652359748158593
1329,4,4,30,506,1,0,3,3,0,0,0,17,2,2,0,0,5,6,88,59,1,1,3,13,3,0,2,2,0,2,4,4,3,192,6,0,521,505,2,0,1,4,536,313,0,725,0,0,2,0,5,1,3,6,4,2,5,5,86,3,2,181,1,5,2,0,175,0,0,64,0,3,3,3,12,5,2,8,4,12.4529327234617
1101,1,3,30,266,1,1,3,0,0,4,0,18,2,2,0,2,1,4,89,60,1,1,12,13,3,0,3,4,1,4,0,4,5,84,6,0,0,4,1,4,0,1,1,0,0,1,0,0,1,0,1,1,1,1,6,0,3,5,77,3,1,20,5,5,0,0,0,0,0,0,0,3,2,1,0,0,3,8,4,11.002099841204238
902,0,3,34,298,1,1,0,3,0,4,0,12,2,2,0,2,4,6,52,10,3,1,7,7,3,0,3,2,1,4,4,3,1,381,6,0,56,237,1,4,1,4,407,0,0,242,1,0,1,0,2,1,3,3,6,0,3,5,41,3,1,309,5,5,2,0,0,0,0,0,0,3,2,1,0,4,3,8,4,11.938193200374572
1050,0,3,30,574,1,1,3,2,0,4,0,7,2,2,0,2,3,6,64,5,1,1,7,7,3,0,3,4,1,3,2,2,4,0,4,0,0,0,1,0,1,4,163,0,0,61,0,0,1,0,2,1,2,4,6,0,3,5,63,3,1,51,5,5,2,0,0,0,0,0,0,3,2,1,0,3,4,8,0,11.349229372299439
23,0,3,45,428,1,1,3,3,0,4,0,5,2,2,0,2,7,4,6,7,3,1,11,12,1,167,2,4,2,2,4,4,6,0,6,0,667,583,1,0,1,4,606,0,0,502,0,0,2,0,3,1,2,5,6,1,2,1,6,2,2,193,5,5,2,88,122,0,0,0,0,3,2,1,0,8,2,8,4,12.345834587905333
67,0,3,40,847,1,1,3,3,0,4,0,12,3,2,0,2,6,4,40,22,1,1,8,9,1,171,3,4,1,2,4,1,2,398,6,0,525,603,1,4,1,4,653,0,0,644,1,0,2,0,3,1,3,5,2,1,2,1,40,2,2,219,5,5,2,172,0,0,0,0,0,3,2,1,0,6,4,8,4,12.100712129872347
1323,5,3,77,478,1,1,0,3,0,4,0,15,2,2,0,5,6,4,18,19,1,1,5,5,3,0,2,4,2,2,4,4,2,295,6,0,21,99,1,0,1,4,249,199,0,549,1,0,2,1,3,1,2,6,6,1,5,1,18,2,2,210,5,5,2,140,27,0,0,0,0,3,2,1,0,5,4,8,4,12.154779351142624
897,1,4,20,309,1,0,3,3,0,4,0,9,2,2,0,2,3,5,70,57,1,1,12,13,3,0,3,4,0,4,4,4,0,82,6,0,370,210,1,0,0,4,175,0,0,67,0,0,1,0,2,1,3,4,6,0,3,5,69,3,1,58,5,5,2,0,18,0,0,0,0,3,2,1,0,3,0,8,0,11.575900264131617
964,0,3,89,646,1,1,0,3,0,0,0,5,2,2,0,2,8,4,2,3,1,1,11,12,3,0,2,4,2,0,4,4,6,0,6,0,669,585,1,0,1,4,607,0,0,505,0,0,2,0,2,1,0,5,6,0,3,1,2,0,2,288,5,5,2,165,107,0,0,0,0,3,2,1,0,4,3,8,4,12.384218830913648
533,0,3,30,166,1,1,3,3,0,4,0,12,2,2,0,2,4,6,55,4,1,1,11,12,3,0,3,4,3,3,2,2,4,0,4,0,0,0,1,0,1,4,100,0,0,27,0,0,1,0,2,1,3,3,4,1,4,5,43,3,1,83,5,5,2,0,0,0,0,0,0,3,2,1,0,3,4,8,4,11.585246126549855
1393,9,3,38,216,1,1,3,3,0,4,0,12,2,2,0,6,4,4,39,40,1,1,5,5,3,0,3,4,1,4,4,0,0,342,6,0,32,164,1,4,1,4,142,0,0,50,1,0,1,0,3,1,3,4,6,1,4,1,39,2,1,40,5,5,2,91,112,0,0,0,0,3,4,1,0,11,0,8,4,11.719939634354555
1021,0,3,30,150,1,1,3,3,0,4,0,7,2,2,0,2,3,4,3,4,1,1,11,12,3,0,3,4,2,2,4,4,2,440,6,0,40,320,1,0,1,4,299,0,0,152,1,0,1,1,2,1,2,3,6,0,3,1,3,0,2,125,5,5,2,147,51,0,0,0,0,3,2,1,0,5,2,8,4,12.078239274020289
281,5,3,52,594,1,1,3,3,0,4,0,20,2,2,0,5,6,5,18,19,1,1,8,9,1,195,2,4,1,2,4,0,2,154,6,0,212,131,1,2,1,4,330,175,0,574,0,0,2,1,3,1,2,5,6,1,5,1,18,0,2,218,5,5,2,0,69,0,11,0,0,3,2,1,0,0,1,8,4,12.339291489316397
932,0,3,40,352,1,1,3,3,0,4,0,12,2,2,0,2,4,5,44,45,1,1,11,12,3,0,3,4,1,4,4,4,1,107,5,72,49,193,1,0,1,4,158,0,0,59,0,1,1,0,2,1,3,3,6,0,3,5,44,3,1,108,5,5,2,0,0,0,0,0,0,3,1,1,0,6,3,8,4,11.67419361256635
878,5,3,44,319,1,1,3,3,0,4,0,16,2,2,0,5,8,4,5,5,3,1,11,12,4,131,2,4,2,0,4,4,2,477,6,0,154,482,1,0,1,4,475,154,0,648,1,0,2,1,4,1,0,8,6,1,2,1,5,0,3,300,5,5,2,100,0,0,0,0,0,3,2,1,0,5,3,8,4,12.765688433465597
264,4,4,20,96,1,1,3,3,0,0,0,17,2,2,0,0,4,6,81,10,1,1,12,13,3,0,3,4,0,4,4,4,3,62,0,101,0,194,1,4,1,4,159,0,11,247,1,0,1,0,3,1,3,4,6,0,3,5,36,3,2,154,5,5,2,0,0,0,0,0,0,3,2,1,0,3,4,8,4,11.77528972943772
1253,0,3,32,444,1,1,3,3,0,4,0,11,2,2,0,2,4,5,41,42,1,1,5,5,3,0,3,4,1,4,4,4,1,202,6,0,191,164,1,4,1,4,126,0,0,42,1,0,1,0,3,1,3,3,6,0,3,1,41,2,1,40,5,5,2,4,0,0,0,0,0,3,1,3,8,10,3,8,4,11.77528972943772
530,0,3,40,877,1,1,0,3,0,1,0,6,2,2,0,2,5,2,50,33,3,1,12,10,2,0,2,4,2,4,4,4,5,486,6,0,448,612,1,4,1,4,662,0,0,695,1,0,3,0,4,2,3,7,0,2,5,1,32,2,2,154,5,5,2,0,0,70,0,0,0,3,2,1,0,2,1,8,2,12.209187788430318
231,0,3,43,308,1,1,3,3,0,4,0,12,2,2,0,2,5,5,51,52,3,1,7,7,1,132,3,4,1,4,4,4,6,0,6,0,570,352,1,4,1,4,341,0,0,183,1,0,1,0,3,1,3,4,6,0,3,1,51,2,1,53,5,5,2,0,0,35,0,0,0,3,2,1,0,3,4,8,4,11.904967552746252
253,5,3,35,263,1,1,0,3,0,4,0,20,2,2,0,5,5,4,4,5,1,1,11,12,3,0,2,4,2,2,4,4,6,0,6,0,439,124,1,0,1,4,81,188,0,419,0,0,2,1,3,1,2,4,6,0,3,1,4,2,2,181,5,5,2,64,32,0,0,0,0,3,2,1,0,11,2,8,4,12.061046873479915
794,0,3,46,361,1,1,3,3,0,4,0,21,2,2,0,2,7,4,0,1,1,1,4,4,4,82,2,4,2,2,4,0,6,0,6,0,635,498,1,0,1,4,492,0,0,338,0,0,2,0,3,1,2,5,6,0,3,1,0,0,2,144,5,5,2,85,101,0,0,0,0,3,2,1,0,5,1,6,5,12.323855681186558
126,14,4,30,135,1,1,3,3,0,4,0,9,2,2,1,0,5,7,71,25,1,1,12,13,3,0,3,1,1,4,4,0,2,190,6,0,5,19,1,2,0,4,5,0,7,13,1,0,1,0,2,1,3,3,6,0,3,6,26,1,0,0,3,3,0,15,0,0,0,0,0,3,2,1,0,5,0,8,4,11.344506813345266
843,8,3,52,346,1,1,3,3,0,4,0,12,2,2,0,7,5,6,42,43,1,1,5,5,1,114,3,4,1,4,4,1,5,95,0,83,142,318,1,4,1,4,323,0,0,170,1,0,1,1,3,1,3,4,6,0,3,1,42,2,2,157,2,2,2,0,100,0,0,0,0,3,0,1,0,4,2,8,4,12.071969661006694
1327,1,2,40,61,1,1,3,0,0,4,1,7,2,2,0,2,2,5,76,2,1,1,7,7,3,0,3,4,0,4,4,4,5,219,6,0,0,25,1,0,1,4,69,0,0,16,0,0,1,0,3,1,2,4,6,0,3,6,27,1,0,0,3,3,2,0,0,98,0,0,0,3,2,1,0,4,1,8,4,11.27720313144916
479,0,3,49,530,1,1,3,3,0,4,0,5,2,2,0,2,7,4,2,2,3,1,11,12,4,193,2,4,2,0,4,1,2,499,6,0,235,567,1,0,1,4,590,0,0,467,1,0,2,0,3,1,2,5,6,1,2,1,2,2,3,338,5,5,2,117,31,0,0,0,0,3,2,1,0,8,3,8,4,12.601487417784837
